2025-02-24 to 03-07|[Workshop Modeling Complex (Astro)Chemical Systems - Astrochemistry meets Data Science](https://munich-iapbp.de/activities/activities-2025/astrochemical-systems)|Garching/Munich, Germany||plas-ig
2025-02-24 to 26|[IMSI Workshop Uncertainty Quantification Strategies for Multi-Physics Systems and Digital Twins](https://imsi.institute/activities/uncertainty-quantification-strategies-for-multi-physics-systems-and-digital-twins/)|Chicago, IL, USA||comp-uq
2025-02-24 to 27|[16th Conference of Young Researchers in Atomic and Molecular Physics (J2IFAM 2025)](https://j2ifam2025.uva.es)|Valladolid, Spain||qmol
2025-02-24 to 27|[36th International Conference on Algorithmic Learning Theory (ALT 2025)](http://algorithmiclearningtheory.org/alt2025/)|Milan, Italy||stat-ml
2025-02-24 to 28|[Conference on Mathematics of Wave Phenomena 2025](https://conference25.waves.kit.edu)|Karlsruhe, Germany||comp-na
2025-02-24 to 28|[Extreme Atomic Physics Workshop (EAS 2025)](https://pks.mpg.de/~eas/)|Riezlern, Kleinwalsertal, Austria||plas-am
2025-02-24 to 28|[International Workshop on Machine Learning for Quantum Matter](https://pks.mpg.de/mlqmat25)|Dresden, Germany||qmat
2025-02-24 to 28|[NUSTAR Annual meeting 2025](https://indico.gsi.de/event/20773/)|Darmstadt, Germany||nuclear
2025-02-25 to 03-04|[39th Annual AAAI Conference on Artificial Intelligence (AAAI 2025)](https://aaai.org/conference/aaai/aaai-25/)|Philadelphia, PA, USA||stat-ml
2025-02-25 to 26|[Fusion Industry Association Annual Policy Conference (FIA 2025)](https://fusionindustryassociation.org/fia-annual-conference-2025/)|Washington, DC, USA|[See also](https://x.com/Fusion_Industry)|plas-ph
2025-02-25 to 28|[Conference on Data Analysis (CoDA 2025)](https://web.cvent.com/event/7845571b-b15d-418c-a24a-14468480c4ff/)|Santa Fe, NM, USA||stat-ml
2025-03-01 to 05|[ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming (PPoPP 2025)](https://ppopp25.sigplan.org)|Las Vegas, NV, USA||comp-na
2025-03-03 to 04|[Workshop on Algorithms, Complexity and Logic (“Theorietag”)](https://stacs2025.de/workshop/)|Jena, Germany|(In association with [STACS 2025](https://stacs2025.de).)|cs-al
2025-03-03 to 05|[Okinawa Institute of Science and Technology Machine Learning Workshop (OMLW 2025)](https://omlw2025.mlds.jp)|Okinawa, Japan||stat-ml
