2025-05-05 to 09|[Fusion Energy Week](https://usfusionenergy.org/fusion-energy-week)|Many locations, USA and elsewhere||plas-ph
2025-09-01 to 04|[International Conference on Optimization and Decision Science (ODS 2025)](https://airoconference.it/ods2025)|Milan, Italy||comp-op
2025-10-02 to 03|[4th Alps-Adriatic Inverse Problems Workshop (AAIP 2025)](https://conference3.aau.at/event/92)|Klagenfurt, Austria||comp-in
2025-09-29 to 10-01|[European Conference on Computational Optimization 2025 (EUCCO 2025)](https://conference3.aau.at/event/122)|Klagenfurt, Austria||comp-op
2025-07-15 to 18|[16th Viennese Conference on Optimal Control and Dynamic Games (VC 2025)](https://vc2025.conf.tuwien.ac.at)|Vienna, Austria||comp-op
2025-11-10 to 14|[13th Latin American Algorithms, Graphs, and Optimization Symposium (LAGOS 2025)](https://lagos.mat.br/lagos2025)|Buenos Aires, Argentina||comp-op
2025-05-08 to 10|[38th Conference of the European Chapter on Combinatorial Optimization (ECCO 2025)](https://ecco2025.sciencesconf.org)|Marrakech, Morocco||comp-op
2025-06-11 to 14|[Workshop on Optimization, Dynamics and Convex Analysis (WODCA)](https://sites.google.com/view/wodca2025)|Aveiro, Portugal||comp-op
2027-07-11 to 15|[66th ISI World Statistics Congress (WSC 2027)](https://isi-next.org/conferences/isi-wsc2027)|Busan, South Korea||stat-th
2025-04-07 to 09|[Stochastic Equations and Particle Systems, Mathematical Models in Statistical Physics](https://www1.mat.uniroma1.it/people/bertini/seps)|Rome, Italy||stat-th
2025-05-11 to 15|[SIAM Conference on Applications of Dynamical Systems (DS 2025)](https://siam.org/conferences-events/siam-conferences/ds25)|Denver, CO, USA||stoch
